"id","latitude","longitude","name","display_name","zone","total_lines","rail"
1,43.780556,-79.414722,"Finch","Finch",1,1,0
2,43.768333,-79.412778,"North York Centre","North<br/>York<br/>Centre",1,1,0
3,43.761389,-79.410833,"Sheppard–Yonge","Sheppard–Yonge",1,2,0
4,43.744167,-79.406667,"York Mills","York<br/>Mills",1,1,0
5,43.725,-79.402222,"Lawrence","Lawrence",1,1,0
6,43.705833,-79.398333,"Eglinton","Eglinton",1,1,0
7,43.697778,-79.397222,"Davisville","Davisville",1,1,0
8,43.687778,-79.393056,"St. Clair","St.<br/>Clair",1,2,0
9,43.682222,-79.390833,"Summerhill","Summerhill",1,1,0
10,43.676944,-79.388889,"Rosedale","Rosedale",1,1,0
11,43.671111,-79.385833,"Bloor-Yonge","Bloor-Yonge",1,2,0
12,43.665278,-79.383889,"Wellesley","Wellesley",1,1,0
13,43.661389,-79.383056,"College","College",1,2,0
14,43.656389,-79.380833,"Dundas","Dundas",1,2,0
